Timestamp,AccelX,AccelY,AccelZ
5.022982,-0.072449,-0.978058,-0.126785
5.043540,-0.054337,-0.978058,-0.126785
5.063607,-0.072449,-0.959946,-0.108673
5.085509,-0.072449,-0.941833,-0.144897
5.106166,-0.036224,-0.941833,-0.163010
5.127148,-0.018112,-0.941833,-0.144897
5.147963,-0.036224,-0.887497,-0.108673
5.169128,-0.054337,-0.923721,-0.108673
5.190139,-0.036224,-0.941833,-0.144897
5.210703,-0.036224,-0.978058,-0.163010
5.231797,-0.054337,-0.959946,-0.144897
5.252801,-0.072449,-0.996170,-0.126785
5.273698,-0.054337,-0.978058,-0.144897
5.295006,-0.054337,-0.978058,-0.126785
5.315981,-0.054337,-0.996170,-0.108673
5.337079,-0.054337,-1.014282,-0.108673
5.358324,-0.054337,-1.014282,-0.126785
5.379293,-0.036224,-1.014282,-0.144897
5.400289,-0.036224,-1.014282,-0.126785
5.421400,-0.036224,-0.996170,-0.144897
5.441319,-0.036224,-1.014282,-0.144897
5.461471,-0.018112,-0.996170,-0.163010
5.482055,-0.018112,-1.032394,-0.163010
5.503059,-0.018112,-1.014282,-0.144897
5.524480,-0.018112,-1.014282,-0.144897
5.545308,-0.018112,-0.996170,-0.163010
5.565517,-0.054337,-1.014282,-0.163010
5.586621,-0.054337,-0.905609,-0.072449
5.608539,-0.054337,-0.887497,-0.018112
5.628848,-0.018112,-0.923721,-0.090561
5.649845,-0.018112,-0.978058,-0.144897
5.670483,-0.036224,-1.032394,-0.181122
5.691495,-0.036224,-1.032394,-0.163010
5.712541,-0.018112,-1.014282,-0.144897
5.733650,-0.036224,-0.996170,-0.181122
5.754771,-0.018112,-0.996170,-0.217346
5.775756,-0.018112,-0.996170,-0.199234
5.796827,-0.018112,-0.959946,-0.181122
5.817957,0.000000,-0.923721,-0.163010
5.838978,0.000000,-0.905609,-0.163010
5.859797,0.018112,-0.941833,-0.199234
5.881135,0.018112,-0.959946,-0.181122
5.902198,0.018112,-0.959946,-0.199234
5.922204,0.018112,-0.996170,-0.217346
5.943495,0.018112,-0.978058,-0.181122
5.964543,0.018112,-0.941833,-0.181122
5.985643,0.036224,-0.941833,-0.199234
6.006658,0.036224,-0.941833,-0.217346
6.025756,0.000000,-0.941833,-0.181122
6.047973,-0.018112,-0.959946,-0.199234
6.068416,-0.018112,-0.941833,-0.181122
6.089334,-0.018112,-0.941833,-0.163010
6.110389,0.000000,-0.959946,-0.199234
6.130741,0.018112,-0.996170,-0.181122
6.151825,0.018112,-0.996170,-0.199234
6.172912,0.036224,-0.996170,-0.181122
6.193947,0.036224,-0.996170,-0.181122
6.215058,0.018112,-0.978058,-0.181122
6.235787,0.036224,-0.959946,-0.163010
6.256889,0.036224,-0.941833,-0.144897
6.276995,0.036224,-0.959946,-0.163010
6.297992,0.036224,-0.959946,-0.163010
6.318977,0.054337,-0.978058,-0.181122
6.340036,0.054337,-0.978058,-0.181122
6.361146,0.036224,-0.959946,-0.144897
6.381381,0.036224,-0.923721,-0.108673
6.403306,0.036224,-0.941833,-0.144897
6.424271,0.054337,-0.959946,-0.163010
6.444504,0.054337,-0.959946,-0.144897
6.465658,0.036224,-0.959946,-0.108673
6.485822,0.036224,-0.959946,-0.126785
6.506952,0.054337,-0.959946,-0.144897
6.528314,0.036224,-0.959946,-0.144897
6.548465,0.036224,-0.959946,-0.144897
6.569491,0.036224,-0.996170,-0.144897
6.589862,0.036224,-0.996170,-0.163010
6.610512,0.036224,-0.996170,-0.163010
6.631943,0.018112,-1.014282,-0.144897
6.652971,0.018112,-1.032394,-0.144897
6.674152,-0.018112,-1.014282,-0.144897
6.694728,0.000000,-0.996170,-0.144897
6.715830,0.000000,-0.996170,-0.126785
6.736856,0.036224,-1.050507,-0.144897
6.757975,0.036224,-1.050507,-0.144897
6.779076,0.036224,-1.032394,-0.144897
6.799773,0.054337,-1.050507,-0.181122
6.820946,0.054337,-1.032394,-0.181122
6.841979,0.054337,-1.014282,-0.199234
6.863014,0.000000,-0.996170,-0.181122
6.884239,-0.018112,-1.014282,-0.217346
6.905262,-0.036224,-0.996170,-0.181122
6.926343,-0.054337,-1.014282,-0.181122
6.946920,-0.054337,-0.996170,-0.199234
6.967859,-0.072449,-0.978058,-0.199234
6.989010,-0.054337,-0.941833,-0.163010
7.010042,-0.036224,-0.905609,-0.163010
